Time (s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.957,244.1,920.43,342.46,673.71,490.26,1047.15,321.93,162.18,201.18,779.53,9.14,33.03,351.41,325.85,268.37,198.57,108.43,147.81,318.19,1357.5,1015.23,924.54,1475.26,411.32,134.18,277.88,222.08,420.09,561.37,824.13,594.77,357.57,153.59,34.71,617.17,103.2,77.26,56.36,280.5,309.98,214.8,690.88,555.77,352.53
19.659,238.51,939.65,354.77,697.97,511.16,1087.83,329.95,166.84,215.74,748.18,8.58,36.95,354.21,221.52,278.07,195.4,104.88,145.01,317.82,1401.36,1018.03,931.07,1457.53,439.87,143.33,280.31,236.45,408.71,594.4,820.4,596.45,379.22,88.09,50.95,604.1,110.67,100.22,60.84,275.46,310.36,228.8,710.29,567.15,374.18
20.361,249.89,962.61,371.94,712.16,517.7,1112.28,355.33,181.77,203.61,631.54,10.26,35.83,338.54,230.67,264.07,187,106.56,163.48,325.47,1288.27,1014.86,1011.69,1429.17,440.99,171.32,282.74,225.07,501.65,609.33,815.55,623.7,426.81,78.38,104.51,538.41,111.41,117.01,59.72,277.51,302.7,229.73,729.89,603.17,373.99
21.063,235.33,998.63,379.59,735.11,546.25,1149.23,362.05,192.04,216.67,662.7,9.14,28.74,362.61,268.18,265.94,136.98,131.94,163.86,337.79,1289.39,1011.5,977.91,1422.63,468.05,176.73,282.36,221.9,590.66,625.19,840.18,623.51,432.59,97.98,122.99,539.34,104.14,121.87,70.54,291.32,313.53,249.33,755.83,647.77,377.91
21.765,230.85,1026.43,401.99,764.6,561.55,1163.23,386.13,202.49,214.99,692.19,8.02,32.47,355.52,218.72,251.94,113.65,152.85,163.48,342.64,1246.84,966.53,975.48,1434.95,490.07,171.13,289.64,227.68,582.45,654.86,819.84,626.12,452.19,118.51,142.02,526.09,84.73,125.97,73.53,304.76,277.32,265.38,761.43,690.14,383.33
22.467,232.16,1050.69,409.64,777.48,587.68,1201.11,399.19,204.73,220.22,709.54,9.52,27.62,364.66,219.28,245.04,83.79,132.69,169.83,354.59,1317.75,981.83,948.8,1427.49,480.56,183.45,286.65,228.61,557.63,655.05,843.91,642.55,454.99,70.73,151.54,562.67,83.05,124.48,61.59,313.53,260.71,270.98,770.57,722.05,396.76
23.169,219.66,1068.05,413,783.07,598.88,1247.39,411.13,200.06,227.87,656.36,13.06,34.53,371.76,257.17,233.28,145.75,138.66,167.59,367.84,1292.56,976.04,935.17,1447.64,497.54,181.21,303.45,234.21,606.15,674.46,879,664.38,464.88,49.27,184.01,499.97,107.12,13.44,58.04,315.58,265.94,283.48,767.96,752.47,389.48
23.871,224.32,1077.19,432.78,814.43,623.51,1249.45,426.06,200.62,225.82,765.35,16.05,36.02,380.53,254.56,256.05,184.57,138.85,173,412.07,1282.85,978.66,937.04,1433.46,454.24,174.87,295.43,208.46,573.5,693.68,886.46,639.75,519.37,28.74,170.95,519.37,101.71,12.32,39.75,313.9,291.13,300.28,785.31,784.75,387.24
24.573,232.35,1085.97,470.85,822.27,644.04,1299.46,452.38,210.14,219.66,756.95,9.33,29.11,382.95,281.06,251.76,197.63,154.52,182.52,330.7,1302.64,986.68,952.9,1423.75,441.37,177.29,308.49,214.24,564.35,666.25,839.25,616.61,475.33,35.83,170.01,460.96,100.59,29.86,37.88,320.43,282.36,326.59,800.43,828.05,387.24
25.275,228.43,1093.43,458.54,847.83,653,1319.99,470.85,212.56,240,754.71,14,24.63,403.11,283.11,237.01,218.35,148.18,173.19,343.76,1420.77,1020.09,1003.66,1414.42,431.85,193.16,310.36,218.16,529.83,723.17,878.63,614.37,549.23,19.78,167.77,436.33,71.29,10.64,81.55,322.67,301.58,314.09,808.27,879.93,369.14
