Time (s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.275,743.14,413.37,363.36,18.48,60.84,53,761.24,48.34,402.55,2016.85,1229.85,1593.58,2602.66,484.29,565.1,1364.03,1484.97,394.71,676.7,922.48,910.17,144.45,85.66,224.7,395.27,62.71,214.06,300.09,623.7,618.29,798.38,126.72,80.62
25.977,771.88,408.15,365.78,16.05,64.95,47.03,680.43,64.57,416.17,2021.51,1276.51,1613.74,2619.83,501.27,556.7,1386.24,1435.51,397.32,716.26,957.19,945.81,151.35,62.15,239.44,392.84,78.76,208.65,295.8,621.46,631.54,808.27,137.54,75.58
26.679,792.59,424.2,375.11,22.21,72.22,45.91,704.88,72.04,424.01,2044.09,1310.66,1593.4,2637.18,507.99,572.19,1399.49,1488.33,392.28,686.4,997.13,981.27,150.61,44.42,253.81,398.63,93.87,178.6,295.24,626.31,637.51,814.05,146.13,114.4
27.381,814.99,441.74,395.08,21.65,74.46,53.75,708.42,74.09,410.2,2039.24,1324.1,1591.16,2647.63,517.32,596.64,1440.92,1538.9,392.28,680.24,1047.33,925.28,141.27,35.83,250.26,416.54,95.55,210.14,298.04,651.69,656.73,839.06,155.08,127.09
28.084,839.99,422.89,409.64,23.33,81.18,51.51,722.05,80.43,419.9,2005.27,1338.65,1614.3,2641.85,526.84,590.85,1455.67,1634.64,411.51,647.96,1082.79,931.07,157.14,18.29,263.14,429.42,106.75,218.54,313.71,634.52,649.08,833.65,164.04,139.59
28.785,866.12,408.71,404.41,26.69,91.45,63.64,728.02,91.63,425.69,1985.68,1367.39,1611.68,2711.65,524.6,618.66,1507.92,1634.08,430.91,665.5,1120.49,920.99,137.92,51.13,285.72,425.5,108.99,231.6,317.45,641.61,661.21,847.09,178.79,152.1
29.488,894.3,415.61,447.15,26.13,98.54,47.4,747.8,96.67,442.3,1985.31,1398.19,1609.07,2770.25,531.69,665.69,1542.82,1651.06,442.67,656.17,1156.7,937.6,122.99,53,259.97,476.26,14.56,232.91,324.54,653.56,674.46,862.2,197.07,154.52
30.189,906.62,415.8,434.83,23.7,108.06,51.51,739.03,100.59,449.58,1965.34,1420.77,1635.2,2771.37,506.87,685.84,1564.28,1657.22,544.76,681.74,1164.91,942.64,84.54,54.12,264.26,495.67,19.78,266.31,315.95,676.7,693.12,888.33,230.29,174.68
30.89,949.54,423.08,441.74,25.19,104.7,49.83,712.34,105.07,438.94,1952.27,1467.05,1663.19,2822.69,514.9,694.05,1602.91,1701.26,489.7,686.78,1158.56,979.22,72.78,38.82,248.21,495.49,17.17,293.75,313.53,689.58,707.3,902.33,209.95,175.43
31.593,976.42,438.38,480,25.38,108.62,53.56,695.17,100.22,414.68,1968.7,1414.05,1655.17,2776.41,495.11,730.82,1619.71,1711.16,525.91,689.76,1190.47,1007.58,80.62,33.22,255.67,509.11,11.01,302.33,308.3,699.09,715.89,911.47,211.63,189.24
32.295,994.52,429.24,460.77,28.93,118.13,55.24,698.35,105.82,420.46,1981.57,1423.01,1673.27,2796.93,502.39,719.62,1655.91,1893.11,541.77,703.57,1211.56,1038.19,122.61,8.4,281.43,548.3,6.53,291.51,317.63,712.34,733.25,933.68,215.36,192.78
32.997,1046.4,436.14,479.25,23.7,117.01,71.85,700.77,99.1,424.01,1991.84,1405.65,1701.08,2821.94,476.45,726.9,1658.9,1907.67,568.83,714.21,1251.5,1060.77,127.28,6.16,297.29,558.38,12.32,307.93,310.17,747.99,778.04,980.71,226.37,181.96
33.699,1093.62,458.35,457.04,30.61,120.37,55.99,722.23,100.22,419.16,1991.65,1386.8,1726.83,2808.13,454.99,780.83,1680.36,1838.06,588.99,756.76,1294.8,1091.19,132.69,21.46,280.68,554.83,11.57,316.33,330.51,753.4,803.42,998.81,239.81,200.99
34.402,1142.51,442.3,469.36,30.61,127.84,62.33,666.06,104.14,424.2,1993.14,1401.55,1757.25,2783.5,459.28,769.26,1715.45,1822.57,599.06,746.12,1308.79,1096.23,154.15,49.27,321.55,560.43,3.36,319.87,348.24,759.75,793.71,1032.59,261.83,207.34
35.106,1189.54,449.95,493.99,31.17,130.26,61.03,654.49,100.4,431.29,1990.35,1411.06,1820.14,2782.56,458.91,786.62,1725.53,1846.46,622.2,781.21,1351.16,1133.93,165.72,70.92,356.83,594.77,2.61,297.11,351.23,772.81,848.58,1054.61,261.83,216.3
35.808,1327.83,479.25,483.36,25.94,140.34,78.94,644.41,103.39,411.69,1940.7,1447.27,1838.06,2806.83,453.31,791.47,1762.85,1877.25,640.31,764.79,1353.02,1136.17,168.15,73.53,353.28,640.49,2.61,326.03,349.55,776.92,878.81,1066,269.3,234.77
36.51,1351.53,500.34,507.06,31.73,135.12,68.49,649.64,102.08,411.13,1994.82,1447.46,1855.04,2846.39,445.1,795.95,1803.53,1931.19,630.42,764.41,1356.57,1105.75,173.37,82.49,349.17,649.26,2.05,361.86,349.73,780.65,856.98,1101.83,276.58,236.08
37.212,1352.28,469.17,511.72,18.48,151.91,62.15,639.56,106.38,422.7,2039.05,1428.79,1855.23,2927.2,447.52,767.02,1795.7,1954.7,629.67,777.1,1333.24,1106.49,181.4,79.5,363.17,665.69,,354.21,346.19,790.35,877.32,1114.71,280.12,248.4
37.914,1419.46,433.71,545.5,9.33,152.47,59.53,649.64,99.66,416.36,1949.66,1387.55,1858.22,2944.93,449.02,803.23,1847.02,1991.46,644.97,767.21,1344.25,1064.5,198.75,75.77,387.8,690.14,3.73,361.12,331.07,790.35,930.13,1138.03,305.5,256.05
38.616,1456.6,444.73,537.48,8.02,158.82,85.29,665.5,100.78,439.31,1943.69,1380.46,1900.95,2963.59,450.14,829.92,1865.49,2029.91,636.39,770.01,1252.06,1079.99,213.68,75.21,364.66,700.03,0.37,371.2,305.69,803.98,746.12,1139.9,313.53,246.16
39.318,1470.04,451.26,554.46,34.71,167.03,61.03,672.59,101.71,450.51,1946.3,1367.58,1842.35,2962.84,436.7,821.52,1904.87,2052.12,650.94,795.39,1226.12,1044.35,225.07,75.02,383.7,720.56,2.61,351.79,302.33,812,728.95,1176.48,334.62,249.52
40.019,1565.03,461.33,609.89,37.32,168.89,59.16,678.38,106.38,465.44,1922.23,1367.95,1834.14,3412.98,427.18,839.81,1934.54,2033.83,667.37,829.17,1230.97,1060.58,234.21,81.74,377.54,742.02,5.79,364.85,354.4,823.01,743.51,1191.41,341.34,264.82
40.722,1502.7,474.21,621.83,45.72,181.03,61.21,674.65,113.65,485.41,1940.14,1359.56,1888.45,3005.39,428.68,828.24,1952.83,2118.93,686.96,806.96,1183.01,1063.2,267.43,96.3,382.21,772.06,9.89,363.73,366.9,831.04,723.91,1230.97,348.43,272.84
41.423,1512.4,475.52,597.2,36.21,179.53,60.47,662.52,137.36,491.19,1916.63,1346.49,1909.35,3015.1,418.78,871.72,2004.53,2108.48,708.05,792.22,1281.17,1064.32,299.34,81.93,386.31,791.66,10.45,365.22,374.37,845.41,736.6,1222.76,374.18,285.35
42.125,1496.16,491.94,606.9,36.02,192.41,61.03,657.1,148.55,482.61,1927.83,1330.63,1939.4,3014.91,427.37,854.92,1996.5,2098.4,719.25,810.69,1060.58,1062.08,341.52,91.07,381.46,794.27,8.58,316.7,374.74,845.22,787.18,1259.71,363.92,312.78
42.827,1486.46,504.44,617.35,58.41,189.98,60.28,669.42,150.23,492.87,1893.86,1348.73,1983.25,2956.12,431.47,847.09,2052.3,2179.02,733.43,808.46,1060.96,1014.49,367.09,98.16,377.35,823.76,,352.35,386.31,859.22,803.04,1298.16,372.31,335.55
43.529,1513.52,500.34,613.62,44.98,191.66,69.61,669.79,150.98,496.79,1909.16,1367.21,2039.61,2930.37,449.2,863.88,2072.65,2218.96,759.37,807.52,1066.37,1022.33,380.9,122.05,410.2,833.28,0.93,362.42,379.41,879.75,837.57,1305.62,379.59,340.03
44.231,1550.29,513.22,625.75,54.87,200.25,72.78,666.62,145.38,488.77,1909.16,1362.17,2120.98,2896.03,452.56,866.5,2074.33,2245.83,774.12,809.57,1071.41,926.03,397.51,139.97,399,845.03,7.46,353.28,373.99,899.34,842.42,1328.2,389.67,343.95
44.933,1614.48,521.61,629.11,46.84,205.66,72.97,652.06,150.61,493.25,1914.39,1360.12,2199.36,2887.63,436.51,889.26,2067.79,2295.29,696.11,823.57,1083.91,949.73,408.33,154.34,398.82,870.04,9.33,376.98,387.43,920.62,882.73,1351.53,394.15,348.61
45.635,1633.71,542.33,659.72,44.98,194.28,84.91,638.44,152.47,501.27,1912.71,1347.99,2239.67,2786.3,396.39,885.34,2082.16,2308.35,689.76,839.25,983.51,897.47,448.46,186.44,392.1,862.39,5.97,375.86,387.43,930.69,903.82,1361.05,405.35,360.56
46.337,1638.37,572.75,672.03,51.69,197.45,73.72,616.61,160.87,506.31,1889.75,1356.2,2305.18,2818.21,363.17,904.19,2106.43,2365.27,701.33,802.48,1013.93,907.74,478.32,193.9,407.96,879.19,12.13,397.32,404.79,951.6,872.65,1382.14,410.01,364.48
47.039,1663.38,573.5,679.5,38.82,207.53,73.34,606.34,151.54,510.23,1889.94,1349.66,2355.2,2778.27,397.51,897.1,2139.64,2397.75,702.27,821.71,1023.63,906.62,496.98,222.08,433.53,877.51,0.75,382.95,416.54,958.87,870.41,1478.81,419.9,360.18
47.741,1663.57,588.24,683.42,51.51,203.98,58.41,585.44,156.58,523.29,1910.47,1349.85,2416.22,2757,430.91,919.5,2171.74,2450.75,712.16,776.92,1048.83,936.85,511.16,241.3,450.7,904.94,0.56,424.94,426.25,982.58,880.31,1455.29,433.15,361.12
48.444,1670.1,577.97,704.69,37.88,196.14,77.26,566.4,145.75,527.77,1901.14,1315.14,2460.64,2689.25,432.22,931.25,2190.78,2529.69,726.15,764.23,1090.07,952.16,520.87,277.32,452.19,931.63,4.67,430.17,434.46,994.52,894.68,1241.05,428.3,368.4
49.146,1697.35,583.76,702.45,57.11,197.45,72.6,563.98,142.58,517.14,1901.33,1310.29,2496.66,2686.08,415.8,942.64,2220.27,2595.94,709.54,745.94,1103.13,968.58,533.93,298.6,470.85,953.09,3.55,444.91,448.27,1025.31,908.3,1261.39,440.25,377.54
49.848,1696.97,601.86,732.87,46.28,194.46,69.05,570.14,146.13,517.51,1894.05,1296.1,2522.22,2629.72,403.85,943.76,2256.47,2663.87,724.29,772.25,1139.53,984.63,568.08,304.76,445.84,959.99,2.99,421.58,457.42,1048.08,900.65,1257.66,448.83,381.46
50.55,1718.81,617.17,755.83,41.24,196.14,59.53,571.26,142.58,520.49,1909.91,1270.35,2558.62,2599.49,403.85,965.22,2237.62,2713.14,729.33,775.8,1186.18,968.58,598.13,334.62,443.61,964.85,2.43,409.27,455.36,1049.76,922.86,1261.39,461.89,384.26
